"5414","66","2DKDIPDOBDDP9FJIEH4DFXMBE0FB01","A2J237J8KM3OCS","1","1","0.424713689101392","0.563940825003223","0.0113454858080341","2.82133521087468e-16","8.73439161762586e-11","9.02457625486803e-16","6.13671895195345e-15","1.18752144822666e-17"
"6065","195","2DKDIPDOBDDP9FJIEH4DFXMBE0FB01","A2J237J8KM3OCS","1","1","0.567767980014945","0.418288011806877","0.0139440081430752","2.58120490525733e-17","3.51004794568292e-11","8.66356860171368e-16","1.25266249411572e-15","1.13969113574502e-17"
"1976","78","2DKDIPDOBDDP9FJIEH4DFXMBE0FB01","A2J237J8KM3OCS","1","1","0.465372797814662","0.534625524891468","1.67729386387563e-06","6.14208639494596e-22","6.20271840928554e-15","1.58526535927002e-19","5.40705838473402e-21","2.23183755075035e-21"
"23","88","2DKDIPDOBDDP9FJIEH4DFXMBE0FB01","A2J237J8KM3OCS","1","1","0.501756299309172","0.498237068817405","6.63187340824872e-06","5.46601677409077e-18","1.37390573440107e-14","3.39117837030822e-19","3.67171697120518e-18","5.21697918254401e-21"
"1","87","2DKDIPDOBDDP9FJIEH4DFXMBE0FB01","A2J237J8KM3OCS","5","1","0.520943281839472","0.479049871825721","6.84633479494849e-06","6.16069244485787e-18","1.21445518149046e-14","3.28846696712986e-19","1.08929661767527e-18","5.01160338674984e-21"
"2097","67","2DKDIPDOBDDP9FJIEH4DFXMBE0FB01","A2J237J8KM3OCS","1","1","0.422811357960992","0.561725810746846","0.0154628312082591","2.05857718472508e-17","8.38973633581703e-11","2.07144298855148e-15","3.21001318481688e-15","2.72193594543547e-17"
"6727","69","2DKDIPDOBDDP9FJIEH4DFXMBE0FB01","A2J237J8KM3OCS","0","0","0.446333441411764","0.537143558057357","0.0165230004266098","1.0065556463921e-17","1.04244452019519e-10","2.58021785947168e-15","2.18514466768724e-14","3.38018632094997e-17"
"1971","29","2DKDIPDOBDDP9FJIEH4DFXMBE0FB01","A2J237J8KM3OCS","1","1","0.352488971959906","0.624709773958139","0.0228012539571088","5.22299616240773e-14","1.2478970531192e-10","3.09867700221679e-15","3.11084429205388e-16","4.11691610930223e-17"
"4518","29","2DKDIPDOBDDP9FJIEH4DFXMBE0FB01","A2J237J8KM3OCS","1","1","0.375769285053422","0.600722935781801","0.0235076261754268","4.00561813912889e-14","1.36165679178707e-10","1.57217095309065e-11","1.52837423278867e-07","4.78867650773961e-17"
"1990","52","2DKDIPDOBDDP9FJIEH4DFXMBE0FB01","A2J237J8KM3OCS","1","1","0.452037079763547","0.547961030496254","1.88974019076933e-06","4.06150413772791e-18","7.48601545820561e-15","1.77045468473703e-19","1.87059997107676e-17","2.42483262179892e-21"
"5414","66","2DKDIPDOBDDP9FJIEH4DFXMBE0FB01","A2O543PJ8110HB","1","1","0.424713689101392","0.563940825003223","0.0113454858080341","2.82133521087468e-16","8.73439161762586e-11","9.02457625486803e-16","6.13671895195345e-15","1.18752144822666e-17"
"6065","195","2DKDIPDOBDDP9FJIEH4DFXMBE0FB01","A2O543PJ8110HB","1","1","0.567767980014945","0.418288011806877","0.0139440081430752","2.58120490525733e-17","3.51004794568292e-11","8.66356860171368e-16","1.25266249411572e-15","1.13969113574502e-17"
"1976","78","2DKDIPDOBDDP9FJIEH4DFXMBE0FB01","A2O543PJ8110HB","1","1","0.465372797814662","0.534625524891468","1.67729386387563e-06","6.14208639494596e-22","6.20271840928554e-15","1.58526535927002e-19","5.40705838473402e-21","2.23183755075035e-21"
