 1538, 78,28UJK63ZVE3HSQKGCXH9QL5REPDAZX
 1656, 56,28UJK63ZVE3HSQKGCXH9QL5REPDAZX
 990, 60,28UJK63ZVE3HSQKGCXH9QL5REPDAZX
 1561, 88,28UJK63ZVE3HSQKGCXH9QL5REPDAZX
 236, 80,28UJK63ZVE3HSQKGCXH9QL5REPDAZX
 5267, 31,28UJK63ZVE3HSQKGCXH9QL5REPDAZX
 1464, 87,28UJK63ZVE3HSQKGCXH9QL5REPDAZX
 4520, 73,28UJK63ZVE3HSQKGCXH9QL5REPDAZX
 956, 83,28UJK63ZVE3HSQKGCXH9QL5REPDAZX
 6416, 79,28UJK63ZVE3HSQKGCXH9QL5REPDAZX
 4746, 14,20KD21O3W5XH19PBM5TK5EPL3ZJGAE
 1156, 61,20KD21O3W5XH19PBM5TK5EPL3ZJGAE
 3627, 74,20KD21O3W5XH19PBM5TK5EPL3ZJGAE
 4569, 88,20KD21O3W5XH19PBM5TK5EPL3ZJGAE
 3355, 56,20KD21O3W5XH19PBM5TK5EPL3ZJGAE
 1229, 55,20KD21O3W5XH19PBM5TK5EPL3ZJGAE
 1932, 67,20KD21O3W5XH19PBM5TK5EPL3ZJGAE
 2628, 114,20KD21O3W5XH19PBM5TK5EPL3ZJGAE
 1198, 78,20KD21O3W5XH19PBM5TK5EPL3ZJGAE
 1681, 59,20KD21O3W5XH19PBM5TK5EPL3ZJGAE
 6429, 56,22G58B727M0IH5K37OXYMSVFF5UWBO
 926, 100,22G58B727M0IH5K37OXYMSVFF5UWBO
 1827, 110,22G58B727M0IH5K37OXYMSVFF5UWBO
 1991, 85,22G58B727M0IH5K37OXYMSVFF5UWBO
 897, 90,22G58B727M0IH5K37OXYMSVFF5UWBO
 209, 69,22G58B727M0IH5K37OXYMSVFF5UWBO
 1968, 80,22G58B727M0IH5K37OXYMSVFF5UWBO
 1989, 131,22G58B727M0IH5K37OXYMSVFF5UWBO
 389, 106,22G58B727M0IH5K37OXYMSVFF5UWBO
 1427, 106,22G58B727M0IH5K37OXYMSVFF5UWBO
 4537, 190,2FE2GTP9RA7S6MMN0WPSVF70UWTQVK
 4499, 146,2FE2GTP9RA7S6MMN0WPSVF70UWTQVK
 3121, 165,2FE2GTP9RA7S6MMN0WPSVF70UWTQVK
 1183, 69,2FE2GTP9RA7S6MMN0WPSVF70UWTQVK
 5230, 70,2FE2GTP9RA7S6MMN0WPSVF70UWTQVK
 2138, 143,2FE2GTP9RA7S6MMN0WPSVF70UWTQVK
 4623, 26,2FE2GTP9RA7S6MMN0WPSVF70UWTQVK
 2521, 50,2FE2GTP9RA7S6MMN0WPSVF70UWTQVK
 2807, 112,2FE2GTP9RA7S6MMN0WPSVF70UWTQVK
 252, 151,2FE2GTP9RA7S6MMN0WPSVF70UWTQVK
 1959, 111,2SVPGFL6VCPW0ZR97J9O21S73XG6LL
 2367, 399,2SVPGFL6VCPW0ZR97J9O21S73XG6LL
 6112, 34,2SVPGFL6VCPW0ZR97J9O21S73XG6LL
 1407, 148,2SVPGFL6VCPW0ZR97J9O21S73XG6LL
 1978, 137,2SVPGFL6VCPW0ZR97J9O21S73XG6LL
 1498, 118,2SVPGFL6VCPW0ZR97J9O21S73XG6LL
 1354, 102,2SVPGFL6VCPW0ZR97J9O21S73XG6LL
 55, 44,2SVPGFL6VCPW0ZR97J9O21S73XG6LL
 2084, 107,2SVPGFL6VCPW0ZR97J9O21S73XG6LL
 934, 37,2SVPGFL6VCPW0ZR97J9O21S73XG6LL
 1985, 64,2Y9RLFQ0ONNVS716BB0ENRB7HX7JSH
 5, 81,2Y9RLFQ0ONNVS716BB0ENRB7HX7JSH
 4536, 70,2Y9RLFQ0ONNVS716BB0ENRB7HX7JSH
 5015, 49,2Y9RLFQ0ONNVS716BB0ENRB7HX7JSH
 4523, 68,2Y9RLFQ0ONNVS716BB0ENRB7HX7JSH
 33, 69,2Y9RLFQ0ONNVS716BB0ENRB7HX7JSH
 3728, 21,2Y9RLFQ0ONNVS716BB0ENRB7HX7JSH
 85, 52,2Y9RLFQ0ONNVS716BB0ENRB7HX7JSH
 6682, 20,2Y9RLFQ0ONNVS716BB0ENRB7HX7JSH
 49, 78,2Y9RLFQ0ONNVS716BB0ENRB7HX7JSH
 5414, 64,2DKDIPDOBDDP9FJIEH4DFXMBE0FB01
 6065, 193,2DKDIPDOBDDP9FJIEH4DFXMBE0FB01
 1976, 76,2DKDIPDOBDDP9FJIEH4DFXMBE0FB01
 23, 86,2DKDIPDOBDDP9FJIEH4DFXMBE0FB01
 1, 85,2DKDIPDOBDDP9FJIEH4DFXMBE0FB01
 2097, 65,2DKDIPDOBDDP9FJIEH4DFXMBE0FB01
 6727, 67,2DKDIPDOBDDP9FJIEH4DFXMBE0FB01
 1971, 27,2DKDIPDOBDDP9FJIEH4DFXMBE0FB01
 4518, 27,2DKDIPDOBDDP9FJIEH4DFXMBE0FB01
 1990, 50,2DKDIPDOBDDP9FJIEH4DFXMBE0FB01
